,date,expName,psychopyVersion,OS,frameRate,idm_task,item,cdd_trial_type,cdd_conf_resp.keys,cdd_conf_resp.rt,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait,cdd_choice,cdd_choice2,cdd_trial_resp.keys,cdd_trial_resp.corr,cdd_trial_resp.rt,cdd_delta_time,cdd_iti_time,cdd_trials1.thisTrialN,cdd_trials1.thisIndex,cdd_catch_trial,cdd_bonus_choice,cdd_bonus_amount,cdd_bonus_delay
992,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,88.0,task,4.0,1.3212,2.0,0.0,42.0,89.0,0.0,immed,1.0,1.0,0.031,1.969,3.661289816,49.0,87.0,0.0,,,
993,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,59.0,task,4.0,0.4019,5.0,0.0,14.0,150.0,0.0,immed,2.0,1.0,0.1328,1.8672,2.972479688,50.0,58.0,0.0,,,
994,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,34.0,task,4.0,0.4014,5.0,0.0,16.0,6.0,1.0,delay,2.0,0.0,0.1565,1.8435,2.674568453,51.0,33.0,0.0,,,
995,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,17.0,task,4.0,0.3761,15.0,0.0,36.0,9.0,1.0,delay,1.0,0.0,0.0593,1.9407,3.155479731,52.0,16.0,0.0,,,
996,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,19.0,task,4.0,0.6,15.0,0.0,54.0,10.0,1.0,delay,2.0,0.0,0.0851,1.9149,2.056135878,53.0,18.0,0.0,,,
997,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,89.0,task,4.0,0.3534,2.0,0.0,65.0,89.0,1.0,delay,1.0,0.0,0.044,1.956,2.919237475,54.0,88.0,0.0,,,
998,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,29.0,task,4.0,0.3236,15.0,0.0,65.0,89.0,1.0,delay,1.0,0.0,0.1147,1.8853,3.242614556,55.0,28.0,0.0,,,
999,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,83.0,task,4.0,0.5049,2.0,0.0,41.0,59.0,0.0,immed,1.0,1.0,0.0828,1.9172,3.10767644,56.0,82.0,0.0,,,
1000,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,94.0,task,4.0,0.3915,2.0,0.0,65.0,150.0,0.0,immed,1.0,1.0,0.0081,1.9919,2.819042989,57.0,93.0,0.0,,,
1001,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,51.0,task,4.0,0.5824,5.0,0.0,44.0,60.0,0.0,immed,2.0,1.0,0.0856,1.9144,2.52577616,58.0,50.0,0.0,,,
1002,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,78.0,task,4.0,0.35,2.0,0.0,42.0,31.0,1.0,delay,2.0,0.0,0.3393,1.6607,3.527435665,59.0,77.0,0.0,,,
1003,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,75.0,task,4.0,0.3106,2.0,0.0,8.0,30.0,1.0,delay,1.0,0.0,0.0513,1.9487,3.331431598,60.0,74.0,0.0,,,
1004,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,92.0,task,4.0,0.3135,2.0,0.0,21.0,151.0,0.0,immed,1.0,1.0,0.0432,1.9568,2.730619116,61.0,91.0,0.0,,,
1005,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,5.0,task,4.0,0.3514,15.0,0.0,20.0,150.0,0.0,immed,2.0,1.0,0.0426,1.9574,3.403890014,62.0,4.0,0.0,,,
1006,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,21.0,task,4.0,0.8804,15.0,0.0,54.0,149.0,0.0,immed,2.0,1.0,0.0445,1.9555,3.649172833,63.0,20.0,0.0,,,
1007,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,57.0,task,4.0,0.2959,5.0,0.0,65.0,90.0,1.0,delay,1.0,0.0,0.08,1.92,2.403414347,64.0,56.0,0.0,,,
1008,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,11.0,task,4.0,0.3538,15.0,0.0,25.0,91.0,0.0,immed,2.0,1.0,0.0798,1.9202,2.040327812,65.0,10.0,0.0,,,
1009,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,32.0,task,4.0,0.2761,15.0,0.0,13.0,90.0,0.0,immed,1.0,1.0,0.1525,1.8475,2.197787845,66.0,31.0,1.0,,,
1010,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,73.0,task,4.0,0.3518,2.0,0.0,41.0,9.0,1.0,delay,1.0,0.0,0.1161,1.8839,3.716782247,67.0,72.0,0.0,,,
1011,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,76.0,task,4.0,0.4266,2.0,0.0,12.0,30.0,1.0,delay,2.0,0.0,0.0457,1.9543,2.440116715,68.0,75.0,0.0,,,
1012,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,35.0,task,4.0,0.5078,5.0,0.0,25.0,5.0,1.0,delay,1.0,0.0,0.1172,1.8828,3.377103554,69.0,34.0,0.0,,,
1013,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,12.0,task,4.0,0.3503,15.0,0.0,26.0,6.0,1.0,delay,2.0,0.0,0.1188,1.8812,1.949639349,70.0,11.0,0.0,,,
1014,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,14.0,task,4.0,0.6937,15.0,0.0,34.0,150.0,0.0,immed,2.0,1.0,0.0781,1.9219,2.638522918,71.0,13.0,0.0,,,
1015,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,26.0,task,4.0,0.3134,15.0,0.0,65.0,11.0,1.0,delay,1.0,0.0,0.0784,1.9216,3.060965394,72.0,25.0,0.0,,,
1016,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,15.0,task,4.0,0.6745,15.0,0.0,35.0,4.0,1.0,delay,2.0,0.0,0.0797,1.9203,1.962674347,73.0,14.0,0.0,,,
1017,2023-01-30_23h45.21.772,idm-v2,2022.2.4,Win32,40.01760775,cdd,90.0,task,4.0,0.6185,2.0,0.0,7.0,150.0,0.0,immed,2.0,1.0,0.0445,1.9555,2.505159043,74.0,89.0,0.0,,,
